Districtcode,Districtname_eng,Constituencynum,Constituencyname,cbrepn,cpnuml,cpnml,cpnm,cpnmx,cpnu,cpnum,cpnun,djp,fdnf,hdp,jn,jpn,lnsep,lkjpn,mprfn,mno,msnp,njm,npd,nrp,ndsm,njp,njvp,nlsd,npad,nrbp,nrld,nspa,nsap,nsad,nskp,nspl,nwpp,nc,ncn,njd,rep,rym,rbp,rj,rjp,rjad,rjadn,rjap,rpp,rppn,sap,spjpn,ssn,spn,sopn,tnrd,tmlp
8,Dhankuta,1,Dhankuta 1,0.0007,0.308,0.0317,0.3976,0.001,0.0042,0.0006,0.0241,0.0005,0.0097,0.0003,0.0051,0.0003,0.0001,0.0006,0.0009,0.0003,0.0006,0.0003,0.0005,0.0011,0.0005,0.0002,0.0003,0.0003,0.0029,0.0004,0.0002,0.0007,0.0003,0.0003,0.0002,0.0007,0.0012,0.1571,0.0004,0.0024,0.0003,0.0004,0.0003,0.005,0.0022,0.0015,0.0001,0.0174,0.0093,0.0018,0.0001,0.0021,0.0003,0.0005,0.0002,0.002,0.0003
8,Dhankuta,2,Dhankuta 2,0.0005,0.3157,0.0378,0.3526,0.0014,0.0027,0.0008,0.0235,0.0003,0.0006,0.0003,0.0059,0.0004,0.0001,0.0008,0.0008,0.0003,0.0005,0.0001,0.0001,0.0003,0.0005,0.0005,0.0005,0.0003,0.0006,0.0003,0.0004,0.0008,0.0002,0.0003,0.0001,0.0003,0.0007,0.0915,0.0004,0.0028,0.0002,0.0002,0.0005,0.0008,0.0014,0.0008,0.0002,0.1322,0.0118,0.0004,0.0001,0.0031,0.0003,0.0004,0.0003,0.0012,0.0003
20,Dhanusha,1,Dhanusha 1,0.0018,0.2715,0.0191,0.1619,0.0025,0.0077,0.0017,0.0119,0.0194,0.0005,0.0008,0.0211,0.0004,0.0008,0.0017,0.2093,0.0009,0.001,0.0012,0.0005,0.0015,0.0006,0.001,0.0022,0.001,0.0005,0.0007,0.0012,0.0042,0.0009,0.0013,0.0019,0.0006,0.0022,0.1644,0.0007,0.0067,0.0004,0.0006,0.0054,0.002,0.0011,0.0014,0.0008,0.0027,0.0117,0.0096,0.0111,0.0031,0.0002,0.0014,0.0008,0.0018,0.0187
20,Dhanusha,2,Dhanusha 2,0.001,0.1741,0.0165,0.1746,0.0045,0.0019,0.0011,0.0148,0.0123,0.0004,0.0005,0.0053,0.0001,0.0013,0.0016,0.1506,0.0007,0.0005,0.0011,0.0003,0.0009,0.0007,0.0017,0.0014,0.0006,0.0007,0.0006,0.0003,0.0069,0.0005,0.0011,0.0014,0.0005,0.0011,0.2061,0.001,0.0044,0.0004,0.0006,0.0023,0.0025,0.0007,0.0014,0.0006,0.0036,0.015,0.0222,0.0088,0.0028,0.0002,0.0007,0.0003,0.0013,0.1433
20,Dhanusha,3,Dhanusha 3,0.0007,0.2319,0.0076,0.041,0.0021,0.0015,0.0003,0.007,0.0113,0.0003,0.0014,0.0125,0.0002,0.001,0.0014,0.034,0.0006,0.0092,0.0007,0.0006,0.0005,0.0005,0.0017,0.0005,0.0006,0.0007,0.0007,0.001,0.0097,0.0005,0.0007,0.002,0.0012,0.001,0.366,0.0004,0.0049,0.0004,0.0004,0.0054,0.001,0.0005,0.001,0.0003,0.0043,0.0087,0.0191,0.0036,0.0032,0.0003,0.0005,0.0007,0.003,0.1898
20,Dhanusha,4,Dhanusha 4,0.0037,0.1821,0.0059,0.062,0.0022,0.0019,0.0017,0.0071,0.0127,0.0007,0.0006,0.005,0.0002,0.0006,0.0044,0.3308,0.0007,0.0004,0.0017,0.0005,0.0013,0.0003,0.0024,0.0012,0.0009,0.0004,0.0006,0.0003,0.0071,0.0007,0.0007,0.0017,0.0005,0.0007,0.1199,0.0004,0.0077,0.0004,0.0004,0.0068,0.001,0.0004,0.0014,0.0008,0.004,0.017,0.0141,0.0391,0.0019,0.0002,0.0014,0.0001,0.0008,0.1383
20,Dhanusha,5,Dhanusha 5,0.0006,0.148,0.0131,0.1249,0.0026,0.0019,0.0018,0.0142,0.0168,0.0024,0.0002,0.0091,0.0003,0.0018,0.0016,0.0885,0.0009,0.0004,0.001,0.0002,0.0006,0.0003,0.0013,0.0012,0.0007,0.0009,0.0005,0.0002,0.0032,0.0005,0.0013,0.0011,0.0006,0.001,0.2476,0.0004,0.0066,0.0003,0.0004,0.003,0.0023,0.0007,0.0017,0.0008,0.0029,0.007,0.03,0.02,0.0028,0.0004,0.0008,0.0005,0.0009,0.2268
20,Dhanusha,6,Dhanusha 6,0.0029,0.2004,0.0231,0.2582,0.0026,0.0032,0.0019,0.0218,0.0172,0.0008,0.0006,0.0198,0.0005,0.001,0.0022,0.1145,0.0005,0.0004,0.0005,0.0005,0.0012,0.0007,0.0011,0.0023,0.001,0.0063,0.0008,0.0007,0.0067,0.0011,0.0011,0.0015,0.0011,0.0024,0.1966,0.0006,0.0044,0.0005,0.0004,0.0023,0.0033,0.0008,0.0023,0.001,0.0046,0.0097,0.032,0.0159,0.0042,0.0002,0.0009,0.0005,0.0022,0.0171
20,Dhanusha,7,Dhanusha 7,0.0577,0.2444,0.0136,0.1306,0.0024,0.0037,0.0085,0.0132,0.0137,0.0025,0.0006,0.056,0.0004,0.0006,0.0111,0.0433,0.0007,0.0004,0.0005,0.0002,0.0016,0.0008,0.0008,0.0013,0.0025,0.0009,0.0008,0.0003,0.0046,0.0019,0.0013,0.0015,0.0007,0.001,0.1745,0.0007,0.0105,0.0004,0.0004,0.0012,0.0016,0.0005,0.0018,0.0066,0.0038,0.0126,0.031,0.0941,0.0036,0.0002,0.0028,0.0003,0.0018,0.0271
17,Dolakha,1,Dolakha 1,0.0002,0.2512,0.0186,0.4305,0.0008,0.0029,0.0007,0.0148,0.0002,0.0006,0.0006,0.0074,0.0001,0.0001,0.0003,0.0003,0.0011,0.0003,0.0002,0.0002,0.0003,0.0004,0.0005,0.0004,0.0002,0.0002,0.0011,0.0002,0.0005,0.0002,0.0002,0.0002,0.0002,0.0026,0.2314,0.0003,0.0051,0.0004,0.0003,0.0002,0.0017,0.0002,0.002,0.0001,0.0024,0.0103,0.0006,0.0001,0.0022,0.0003,0.0006,0.0004,0.0029,0.0005
17,Dolakha,2,Dolakha 2,0.0006,0.2608,0.0305,0.4167,0.001,0.0057,0.001,0.0206,0.0002,0.0044,0.0006,0.0103,0.0002,0.0002,0.0006,0.0018,0.0003,0.0003,0.0004,0.0006,0.0007,0.0008,0.0005,0.0005,0.0004,0.001,0.0008,0.0003,0.0008,0.0003,0.0004,0.0001,0.001,0.0031,0.1846,0.0002,0.0071,0.0002,0.0005,0.0005,0.0021,0.0008,0.0026,0.0001,0.0043,0.02,0.001,0.0002,0.0034,0.0003,0.0007,0.0011,0.002,0.0008
57,Dolpa,1,Dolpa 1,0.0005,0.1487,0.0296,0.5599,0.0021,0.0014,0.0014,0.0188,0.0005,0.0017,0.0004,0.012,0.0001,0.0002,0.0018,0.0008,0.0004,0.0004,0.0004,0.0002,0.0004,0.0007,0.0003,0.0003,0.0002,0.0003,0.0004,0.0003,0.0008,0.0001,0.0005,0.0001,0.0007,0.001,0.1047,0.0005,0.0015,0.0002,0.0007,0.0005,0.0015,0.0008,0.0011,0.0001,0.007,0.0654,0.0228,0.0001,0.0026,0.0005,0.0007,0.0005,0.0004,0.001
70,Doti,1,Doti 1,0.001,0.3115,0.0116,0.2321,0.0026,0.0022,0.001,0.0089,0.0004,0.0015,0.0004,0.0219,0.0002,0.0002,0.0009,0.0006,0.0004,0.0003,0.0004,0.0005,0.0008,0.0013,0.0008,0.0009,0.0009,0.0012,0.0005,0.0005,0.0012,0.0004,0.0006,0.0005,0.001,0.0015,0.3233,0.0009,0.0078,0.0006,0.0008,0.0009,0.007,0.0007,0.0017,0.0005,0.0125,0.0192,0.0033,0.0002,0.0048,0.0004,0.0004,0.001,0.0027,0.0004
70,Doti,2,Doti 2,0.0009,0.2637,0.0157,0.3102,0.0027,0.0024,0.0011,0.0146,0.0006,0.001,0.0004,0.0141,0.0004,0.0002,0.0012,0.0008,0.0005,0.0003,0.0003,0.0004,0.0005,0.001,0.0006,0.0006,0.0006,0.0006,0.0004,0.0005,0.0011,0.0002,0.0005,0.0003,0.0044,0.0015,0.2321,0.0006,0.0064,0.0004,0.0013,0.001,0.0623,0.0012,0.0018,0.0005,0.0136,0.0222,0.0025,0.0002,0.0054,0.0003,0.0008,0.0009,0.0015,0.0007
36,Gorkha,1,Gorkha 1,0.0002,0.0799,0.0387,0.6363,0.0011,0.0016,0.001,0.0224,0.0002,0.0005,0.0009,0.0094,0.0002,0.0001,0.0008,0.0004,0.0002,0.0003,0.0001,0.0001,0.0008,0.0002,0.0003,0.0004,0.0003,0.0087,0.0002,0.0002,0.0012,0.0003,0.0003,0.0002,0.0003,0.0006,0.1551,0.0003,0.003,0.0004,0.0006,0.0005,0.0021,0.0008,0.0018,0.0001,0.0035,0.0156,0.0026,0.0002,0.0026,0.0003,0.0007,0.0004,0.0007,0.0004
36,Gorkha,2,Gorkha 2,0.0002,0.0474,0.0295,0.7293,0.0006,0.002,0.0008,0.0207,0.0002,0.0005,0.0002,0.0135,0.0001,0.0001,0.0004,0.0004,0.0002,0.0003,0.0002,0.0001,0.0003,0.0004,0.0004,0.0002,0.0002,0.0036,0.0003,0.0001,0.0008,0.0008,0.0002,0.0001,0.0002,0.0011,0.1152,0.0002,0.0016,0.0003,0.0004,0.0005,0.0027,0.0016,0.0014,0.0002,0.0018,0.011,0.0023,0.0001,0.0024,0.0001,0.0006,0.0004,0.0017,0.0001
36,Gorkha,3,Gorkha 3,0.0005,0.1147,0.0267,0.5935,0.0032,0.0029,0.0012,0.0268,0.0002,0.0007,0.0004,0.0114,0.0001,0.0002,0.0011,0.0006,0.0005,0.0006,0.0003,0.0001,0.0005,0.0004,0.0011,0.0011,0.0004,0.002,0.0003,0.0004,0.0014,0.0003,0.0003,0.0002,0.0004,0.0008,0.1667,0.0004,0.006,0.0007,0.0009,0.001,0.002,0.0006,0.0017,0.0004,0.0059,0.0097,0.0008,0.0002,0.0045,0.0005,0.0009,0.0008,0.001,0.0005
42,Gulmi,1,Gulmi 1,0.0005,0.2627,0.0186,0.3247,0.001,0.0088,0.0005,0.0112,0.0001,0.0007,0.0004,0.0066,0.0003,0.0001,0.0016,0.0003,0.0001,0.0005,0.0001,0.0001,0.0004,0.0007,0.0004,0.0003,0.0003,0.0004,0.0003,0.0003,0.0003,0.0001,0.0001,0.0002,0.001,0.0005,0.2751,0.0003,0.0042,0.0001,0.0003,0.0003,0.0504,0.0077,0.0004,0.0001,0.0027,0.0081,0.001,0.0002,0.0026,0.0003,0.0004,0.0004,0.001,0.0003
42,Gulmi,2,Gulmi 2,0.0005,0.3988,0.0124,0.1664,0.0004,0.0019,0.0004,0.0105,0.0001,0.0005,0.0002,0.0087,0.0001,0.0001,0.0007,0.0002,0.0001,0.0002,0.0007,0.0003,0.0005,0.0003,0.0003,0.0003,0.0003,0.0001,0.0002,0.0002,0.0004,0.0001,0.0001,0.0001,0.0005,0.0006,0.3526,0.0001,0.0031,0.0001,0.0003,0.0003,0.0175,0.0026,0.0005,0.0001,0.0028,0.0074,0.0007,0.0001,0.0027,0.0001,0.0004,0.0002,0.0006,0.0003
42,Gulmi,3,Gulmi 3,0.0004,0.3217,0.0158,0.3528,0.0011,0.0029,0.0006,0.0101,0.0002,0.0005,0.0002,0.0082,0.0001,0.0001,0.0006,0.0003,0.0002,0.0002,0.0002,0.0002,0.0005,0.0004,0.0004,0.0002,0.0004,0.0001,0.0003,0.0003,0.0007,0.0002,0.0002,0.0002,0.0008,0.0004,0.219,0.0003,0.0058,0.0002,0.0001,0.0004,0.0145,0.0006,0.0006,0.0001,0.0024,0.0284,0.0004,0.0001,0.0035,0.0003,0.0004,0.0004,0.0011,0.0003
61,Humla,1,Humla 1,0.0002,0.1367,0.0152,0.5657,0.0009,0.0015,0.0007,0.0044,0.0001,0.0002,0.0003,0.0195,0,0.0002,0.0005,0.0003,0.0001,0.0002,0,0.0002,0.0001,0.0001,0.0002,0.0005,0.0002,0,0.0001,0.0001,0.0005,0,0.0003,0.0002,0.0001,0.0029,0.2016,0.0004,0.0052,0,0.0003,0.0002,0.0014,0.0005,0.001,0.0002,0.0099,0.0188,0.0049,0.0001,0.0018,0,0.0002,0.0001,0.0004,0.0007
3,Ilam,1,Ilam 1,0.0004,0.3414,0.0234,0.2274,0.0008,0.0013,0.0044,0.0111,0.0001,0.0167,0.0003,0.0057,0.0003,0.0002,0.0011,0.0009,0.0209,0.0005,0,0.0001,0.0003,0.0004,0.0002,0.0002,0.0002,0.0016,0.0003,0.0001,0.0003,0.0001,0.0002,0,0.0004,0.0006,0.2807,0.0003,0.0024,0.0006,0.0003,0.0003,0.0007,0.0007,0.001,0,0.0022,0.039,0.0012,0.0002,0.0013,0.0001,0.0002,0.0002,0.0061,0.0005
3,Ilam,2,Ilam 2,0.0004,0.3395,0.0195,0.2026,0.0004,0.0045,0.0011,0.0132,0.0002,0.0581,0.0002,0.0041,0.0008,0,0.0004,0.0014,0.0217,0.0005,0,0.0001,0.0001,0.0003,0.0002,0.0003,0.0004,0.0058,0.0011,0.0002,0.0003,0.0001,0,0.0001,0.0002,0.0005,0.2988,0.0002,0.0024,0.0004,0.0003,0.0002,0.0008,0.002,0.0005,0.0001,0.0027,0.0075,0.0007,0.0001,0.0016,0.0002,0.0003,0.0003,0.0022,0.0003
3,Ilam,3,Ilam 3,0.0003,0.3252,0.0181,0.1786,0.0006,0.0023,0.0036,0.0109,0.0001,0.0094,0.0007,0.0048,0.0001,0.0001,0.0008,0.0013,0.0476,0.0005,0,0.0002,0.0002,0.0004,0.0004,0.0002,0.0004,0.0031,0.0017,0.0002,0.0002,0.0003,0.0001,0.0001,0.0001,0.0004,0.3553,0.0002,0.003,0.001,0.0002,0.0004,0.0006,0.0005,0.0006,0.0001,0.003,0.0091,0.0034,0.0001,0.0013,0.0001,0.0005,0.0005,0.0067,0.0004
62,Jajarkot,1,Jajarkot 1,0.0004,0.1695,0.0109,0.5074,0.0024,0.0013,0.0016,0.0107,0.0004,0.0003,0.0002,0.0079,0.0004,0.0002,0.0006,0.0006,0.0001,0.0002,0.0001,0.0001,0.0004,0.0002,0.0006,0.0005,0.0005,0.0009,0.0003,0.0002,0.0007,0.0001,0.0004,0.0001,0.0004,0.0013,0.1776,0.0003,0.0035,0.0004,0.0005,0.0005,0.0039,0.0005,0.0017,0.0001,0.0051,0.0715,0.0007,0.0001,0.0101,0.0002,0.0005,0.0002,0.0005,0.0002
62,Jajarkot,2,Jajarkot 2,0.0004,0.2654,0.0069,0.3873,0.0019,0.0019,0.001,0.0075,0.0002,0.0002,0.0002,0.0121,0.0003,0.0002,0.0003,0.0007,0.0001,0.0001,0,0,0.0001,0.0007,0.0004,0.0005,0.0004,0.0014,0.0004,0.0003,0.0007,0.0002,0.0001,0.0003,0.0004,0.0014,0.2433,0.0004,0.0055,0.0004,0.0008,0.0003,0.0047,0.0003,0.0021,0.0003,0.0054,0.0315,0.0003,0.0002,0.0084,0.0002,0.0003,0.0007,0.0007,0.0002
4,Jhapa,1,Jhapa 1,0.0015,0.2685,0.0261,0.3131,0.0006,0.0011,0.0005,0.011,0.0003,0.0216,0.0001,0.0081,0.0003,0.0001,0.0009,0.0092,0.0179,0.0005,0.0001,0.0002,0.0018,0.0006,0.0007,0.0002,0.0005,0.0048,0.0001,0.0001,0.0006,0.0003,0.0002,0.0003,0.0003,0.0006,0.2651,0.0001,0.0027,0.0004,0.0002,0.0003,0.0017,0.002,0.0012,0.0001,0.0042,0.0099,0.0058,0.0038,0.004,0.0001,0.0009,0.0004,0.0027,0.0016
4,Jhapa,2,Jhapa 2,0.0024,0.19,0.041,0.363,0.0015,0.0013,0.0018,0.016,0.0002,0.0155,0.0009,0.0114,0.0002,0.0001,0.0017,0.0258,0.0061,0.0004,0.0001,0.0004,0.0024,0.0008,0.0008,0.0005,0.0007,0.0015,0.0003,0.0003,0.0022,0.0013,0.0003,0.0007,0.0004,0.0006,0.2419,0.0003,0.0032,0.0003,0.0003,0.0004,0.0012,0.0053,0.0013,0.0015,0.0052,0.0113,0.0157,0.0097,0.0026,0.0001,0.0012,0.0005,0.0024,0.0029
4,Jhapa,3,Jhapa 3,0.0008,0.1788,0.0344,0.3166,0.0014,0.0016,0.0019,0.0156,0.0003,0.015,0.0003,0.008,0.0002,0.0001,0.0026,0.0363,0.0012,0.0003,0.0002,0.0002,0.0009,0.0003,0.0004,0.0005,0.0006,0.0004,0.0004,0.0001,0.0037,0.0003,0.0002,0.0006,0.0003,0.0004,0.2555,0.0003,0.0033,0.0003,0.0003,0.0002,0.0018,0.0149,0.002,0.0002,0.0065,0.0377,0.0098,0.0349,0.0028,0.0001,0.0008,0.0004,0.002,0.0013
4,Jhapa,4,Jhapa 4,0.0026,0.2511,0.0282,0.3251,0.0007,0.0018,0.0003,0.0107,0.0002,0.012,0.0007,0.012,0.0004,0.0001,0.0009,0.0135,0.0026,0.0003,0.0001,0.0001,0.0017,0.0006,0.0004,0.0004,0.0002,0.0013,0.0004,0.0002,0.0007,0.0012,0.0002,0.0004,0.0003,0.0005,0.2676,0.0002,0.0031,0.0001,0.0003,0.0003,0.0019,0.0174,0.0011,0.0001,0.0061,0.0062,0.012,0.0029,0.0027,0.0001,0.0008,0.0004,0.0014,0.0035
4,Jhapa,5,Jhapa 5,0.0015,0.1936,0.0355,0.2447,0.0018,0.0014,0.0023,0.0171,0.0003,0.0374,0.0003,0.011,0.0006,0.0001,0.0072,0.0484,0.0014,0.0003,0.0002,0.0001,0.0011,0.0007,0.0011,0.0007,0.0017,0.0027,0.0002,0.0003,0.0027,0.0003,0.0002,0.001,0.0004,0.0006,0.2407,0.0002,0.0032,0.0001,0.0004,0.0003,0.0008,0.0057,0.0014,0.0004,0.0049,0.0108,0.0102,0.0895,0.0021,0.0003,0.0015,0.0003,0.004,0.004
4,Jhapa,6,Jhapa 6,0.0011,0.2779,0.0231,0.2362,0.0016,0.0091,0.0016,0.0161,0.0003,0.0147,0.0002,0.0068,0.0003,0.0002,0.0033,0.0858,0.0003,0.0004,0.0003,0.0002,0.0011,0.0009,0.0007,0.0012,0.0017,0.0022,0.0004,0.0001,0.0181,0.0005,0.0003,0.0028,0.0003,0.0007,0.2026,0.0003,0.0033,0.0003,0.0002,0.0006,0.0011,0.0039,0.0011,0.0025,0.0057,0.0121,0.0088,0.02,0.0024,0.0001,0.0005,0.0003,0.0021,0.0221
4,Jhapa,7,Jhapa 7,0.0012,0.2582,0.039,0.3073,0.0013,0.0031,0.0006,0.0167,0.0004,0.0401,0.0009,0.0079,0.0022,0.0002,0.0009,0.02,0.0004,0.0006,0.0006,0.0006,0.0017,0.0023,0.0004,0.0005,0.0003,0.005,0.0004,0.0002,0.0011,0.0005,0.0003,0.0002,0.0005,0.0003,0.1928,0.0002,0.0025,0.0002,0.0002,0.0004,0.001,0.0105,0.0009,0.0001,0.0089,0.0509,0.0072,0.0004,0.002,0.0006,0.001,0.0003,0.0033,0.001
59,Jumla,1,Jumla 1,0.0007,0.1395,0.0137,0.4686,0.001,0.0009,0.0007,0.007,0.0003,0.0004,0.0002,0.0073,0.0001,0.0015,0.0005,0.0002,0.0002,0.0001,0.0002,0.0002,0.0003,0.0003,0.0002,0,0.0003,0.0003,0.0007,0.0001,0.0004,0.0001,0.0003,0.0001,0.0004,0.0812,0.2131,0.0002,0.0022,0.0002,0.0004,0.0003,0.0077,0.0005,0.0035,0.0002,0.0053,0.0246,0.0088,0.0001,0.0035,0.0002,0.0003,0.0004,0.0003,0.0003
71,Kailali,1,Kailali 1,0.0008,0.1196,0.0342,0.4558,0.0025,0.0036,0.0006,0.0164,0.0003,0.0501,0.0005,0.0124,0.0002,0.0001,0.0009,0.0231,0.0003,0.0004,0.0002,0.0004,0.0009,0.0011,0.001,0.0006,0.0007,0.0053,0.0002,0.0003,0.0009,0.0004,0.0006,0.0002,0.0018,0.0029,0.1881,0.0056,0.0026,0.0003,0.0006,0.0006,0.0054,0.0005,0.0015,0.0003,0.0167,0.0244,0.0036,0.0003,0.0065,0.0003,0.0009,0.0004,0.0014,0.0006
71,Kailali,2,Kailali 2,0.0007,0.2105,0.0224,0.458,0.0022,0.0021,0.0006,0.014,0.0001,0.0065,0.0005,0.0087,0.0001,0.0002,0.0009,0.0074,0.0002,0.0004,0.0001,0.0002,0.0005,0.0006,0.0004,0.0004,0.0004,0.001,0.0002,0.0002,0.0004,0.0001,0.0003,0.0002,0.0029,0.0101,0.1949,0.0006,0.0043,0.0003,0.0007,0.0003,0.0048,0.0005,0.0014,0.0002,0.0109,0.0171,0.001,0.0002,0.0057,0.0001,0.0006,0.0005,0.0016,0.0005
71,Kailali,3,Kailali 3,0.0024,0.102,0.037,0.3972,0.0044,0.0022,0.0011,0.022,0.0002,0.1014,0.0017,0.0061,0.0003,0.0004,0.0015,0.0437,0.0005,0.0057,0.0007,0.0005,0.0014,0.001,0.0007,0.001,0.0026,0.007,0.0002,0.001,0.0017,0.0005,0.0006,0.0007,0.0032,0.001,0.121,0.0009,0.0025,0.0005,0.0006,0.0008,0.0085,0.0009,0.0011,0.0005,0.0057,0.0813,0.0013,0.0111,0.0055,0.0003,0.0007,0.0007,0.0015,0.0007
71,Kailali,4,Kailali 4,0.0008,0.1269,0.0268,0.5393,0.0028,0.0021,0.0006,0.0144,0.0007,0.0021,0.0004,0.007,0.0002,0.0001,0.0038,0.0093,0.0003,0.0005,0.0001,0.0003,0.0007,0.0008,0.0004,0.0007,0.0002,0.0034,0.0004,0.0002,0.0016,0.0002,0.0004,0.0006,0.0032,0.0025,0.157,0.0008,0.0033,0.0004,0.0008,0.0003,0.0042,0.0007,0.0015,0.0002,0.035,0.0321,0.0014,0.0003,0.005,0.0002,0.0006,0.0007,0.001,0.0006
71,Kailali,5,Kailali 5,0.001,0.1803,0.023,0.3745,0.0017,0.0031,0.0006,0.0127,0.0004,0.0143,0.0002,0.0099,0.0001,0.0002,0.0012,0.0007,0.0002,0.0004,0.0002,0.0003,0.0003,0.0008,0.0003,0.0005,0.0007,0.0025,0.0002,0.0001,0.0004,0.0003,0.0002,0.0001,0.0032,0.0009,0.2977,0.0002,0.0029,0.0003,0.0005,0.0005,0.0161,0.0007,0.0011,0.0002,0.0106,0.0207,0.0016,0.0013,0.0066,0.0003,0.0005,0.0003,0.0016,0.0008
71,Kailali,6,Kailali 6,0.0004,0.2165,0.026,0.3314,0.0013,0.004,0.0005,0.0138,0.0001,0.0106,0.0007,0.0065,0.0001,0,0.0027,0.0041,0.0001,0.0005,0.0002,0.0002,0.0005,0.0018,0.0004,0.0003,0.0004,0.0038,0.0003,0.0001,0.0022,0.0001,0.0002,0.0008,0.0006,0.0008,0.2561,0.0003,0.0017,0.0001,0.0002,0.0002,0.0114,0.0007,0.0009,0.0001,0.0527,0.021,0.0059,0.0054,0.0065,0.0002,0.0004,0.0004,0.003,0.0011
60,Kalikot,1,Kalikot 1,0.0004,0.1667,0.0088,0.4851,0.001,0.0007,0.0004,0.0054,0.0004,0.0003,0.0001,0.0109,0.0001,0.0001,0.0006,0.0005,0.0001,0.0001,0.0001,0.0001,0.0002,0.0003,0.0003,0.0002,0.0002,0.0001,0.0006,0.0001,0.0004,0.0013,0.0002,0.0002,0.0009,0.0497,0.1734,0.0002,0.0038,0.0002,0.0003,0.0003,0.0193,0.0007,0.0014,0.0002,0.0201,0.0276,0.0014,0.0001,0.0123,0.0002,0.0002,0.0007,0.0007,0.0005
75,Kanchanpur,1,Kanchanpur 1,0.0005,0.1884,0.0215,0.3231,0.0017,0.008,0.0006,0.0144,0.0004,0.0004,0.0001,0.0159,0.0001,0.0001,0.0006,0.0018,0,0.0005,0.0002,0.0004,0.0006,0.0004,0.0006,0.0007,0.0004,0.0043,0.0002,0.0003,0.0016,0.0001,0.0002,0.0003,0.0017,0.0008,0.2621,0.0004,0.0033,0.0003,0.0004,0.0005,0.0857,0.0007,0.0011,0.0003,0.0138,0.0284,0.0019,0.0002,0.0047,0.0003,0.0006,0.0004,0.0023,0.002
75,Kanchanpur,2,Kanchanpur 2,0.0011,0.1052,0.0317,0.4265,0.0036,0.0087,0.0007,0.0255,0.0001,0.0007,0.0002,0.0136,0.0002,0.0002,0.0005,0.0008,0.0002,0.0003,0.0002,0.0004,0.0005,0.0009,0.0005,0.0005,0.0003,0.0093,0.0004,0.0002,0.0088,0.0003,0.0005,0.0024,0.0012,0.0011,0.2339,0.0005,0.0035,0.0002,0.0007,0.0007,0.0085,0.001,0.0015,0.0001,0.0059,0.0702,0.0019,0.0003,0.0148,0.0003,0.0005,0.0007,0.0034,0.0039
75,Kanchanpur,3,Kanchanpur 3,0.0008,0.1564,0.0318,0.408,0.0022,0.0059,0.0003,0.0208,0.0002,0.0003,0.0003,0.0142,0.0003,0.0001,0.0007,0.0006,0.0002,0.0006,0.0002,0.0003,0.0005,0.0006,0.0014,0.0003,0.0002,0.0004,0.0004,0.0002,0.002,0.0004,0.0004,0.0005,0.0005,0.0008,0.2503,0.0002,0.0025,0.0003,0.0003,0.0004,0.0059,0.0009,0.0011,0.0001,0.029,0.0427,0.0046,0.0003,0.0054,0.0002,0.0005,0.0005,0.0012,0.0011
75,Kanchanpur,4,Kanchanpur 4,0.0004,0.1688,0.0233,0.3305,0.0023,0.0042,0.0006,0.0176,0.0002,0.0004,0.0002,0.0101,0.0001,0.0001,0.0005,0.0005,0.0002,0.0008,0.0002,0.0004,0.0004,0.0008,0.0038,0.0003,0.0004,0.0002,0.0003,0.0002,0.0021,0.0002,0.0005,0.0003,0.0004,0.0008,0.3473,0.0002,0.0027,0.0003,0.0002,0.0003,0.0028,0.0008,0.0013,0.0001,0.0085,0.0527,0.0039,0.0001,0.0038,0.0004,0.0005,0.0005,0.0007,0.0006
47,Kapilvastu,1,Kapilvastu 1,0.0002,0.2613,0.0193,0.2674,0.0016,0.0016,0.0015,0.0098,0.0003,0.0003,0.0002,0.0103,0.0002,0.0004,0.0076,0.0054,0.0002,0.0004,0.0003,0.0002,0.0004,0.0003,0.0006,0.0005,0.0002,0.0019,0.0005,0.0001,0.0037,0.0002,0.0001,0.0006,0.0006,0.0012,0.27,0.0002,0.0018,0.0001,0.0002,0.001,0.0263,0.0137,0.001,0.0001,0.0026,0.0143,0.0058,0.0048,0.002,0.0001,0.0005,0.0003,0.0008,0.0548
47,Kapilvastu,2,Kapilvastu 2,0.002,0.0623,0.0225,0.1899,0.006,0.0024,0.0021,0.0145,0.0006,0.0006,0.0005,0.0067,0.0004,0.0017,0.0026,0.132,0.0009,0.0003,0.0011,0.0002,0.0016,0.0005,0.0055,0.0041,0.002,0.0012,0.0005,0.0004,0.0255,0.0007,0.0006,0.0044,0.0006,0.0014,0.1671,0.0008,0.0021,0.0004,0.0007,0.003,0.0075,0.002,0.0017,0.0011,0.0018,0.0165,0.0346,0.038,0.0031,0.0008,0.0009,0.0006,0.0007,0.2183
47,Kapilvastu,3,Kapilvastu 3,0.0009,0.0383,0.019,0.131,0.0034,0.0012,0.0011,0.0134,0.0005,0.0006,0.0005,0.0056,0.0003,0.0022,0.0023,0.0408,0.0005,0.0004,0.0005,0.0002,0.0006,0.0003,0.005,0.002,0.0011,0.0027,0.0008,0.0003,0.0288,0.0006,0.0004,0.0042,0.0005,0.001,0.1583,0.0004,0.0014,0.0005,0.0006,0.0048,0.0017,0.0008,0.0025,0.0004,0.002,0.0407,0.0475,0.0255,0.0016,0.0004,0.0006,0.0005,0.0003,0.3981
